Country,Source 1 ,Source 2,,,,,,,,,,,,,,,,,,,,,,,
Denmark,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Denmark,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,https://www.aa.com.tr/en/africa/djibouti-reports-its-first-coronavirus-death/1798990,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,No death till 16 May 2020,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_the_Dominican_Republic,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,https://tass.com/world/1130131,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,https://www.aa.com.tr/en/latest-on-coronavirus-outbreak/confirmed-covid-19-deaths-at-8-in-egypt/1773728,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,https://www.aa.com.tr/en/americas/el-salvador-announces-first-covid-19-death/1787257,,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,https://www.worldometers.info/coronavirus/country/equatorial-guinea/,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,No death till 16 May 2020,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,https://news.err.ee/1068644/first-death-from-coronavirus-reported-in-estonia,,,,,,,,,,,,,,,,,,,,,,,,
Eswatini,https://medicalxpress.com/news/2020-04-eswatini-covid-death.html,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,https://www.aa.com.tr/en/africa/1st-covid-19-death-confirmed-in-ethiopia/1793239,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,No death till 16 May 2020,,,,,,,,,,,,,,,,,,,,,,,,
Finland,https://www.foreigner.fi/articulo/coronavirus/first-death-from-coronavirus-in-finland/20200321153147004906.html,,,,,,,,,,,,,,,,,,,,,,,,
France,https://www.dw.com/en/coronavirus-france-announces-first-covid-19-death-in-europe/a-52386140,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,https://www.aa.com.tr/en/africa/coronavirus-gabon-confirms-first-covid-19-death-case/1773424,,,,,,,,,,,,,,,,,,,,,,,,
Gambia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_the_Gambia,https://tbsnews.net/coronavirus-chronicle/bangladeshi-imam-dies-coronavirus-gambia-60166,,,,,,,,,,,,,,,,,,,,,,,
Georgia,https://www.wjbf.com/lifestyle/health/coronavirus/first-reported-covid-19-death-in-georgia-happened-earlier-than-previously-thought/,,,,,,,,,,,,,,,,,,,,,,,,
Germany,https://unb.com.bd/category/World/germany-reports-first-two-deaths-from-covid-19/46645,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,https://punchng.com/ghana-records-first-coronavirus-death-shuts-borders/,,,,,,,,,,,,,,,,,,,,,,,,
Greece,https://www.aa.com.tr/en/europe/greece-confirms-1st-death-from-coronavirus/1763061#!,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,No death till 16 May 2020,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,https://tass.com/world/1130473,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,https://www.aa.com.tr/en/africa/guinean-local-media-reports-1st-covid-19-death/1805369,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,https://medicalxpress.com/news/2020-04-guinea-bissau-death-coronavirus.html,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,https://www.reuters.com/article/us-health-coronavirus-guyana-confirmed/guyana-confirms-first-case-of-coronavirus-in-woman-who-returned-from-u-s-idUSKBN20Z06B,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,https://www.thejakartapost.com/news/2020/04/06/haiti-reports-its-first-coronavirus-death-.html,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,www.xinhuanet.com/english/2020-03/27/c_138921089.htm,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,http://www.xinhuanet.com/english/2020-03/16/c_138880842.htm,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,https://www.icelandreview.com/society/first-covid-19-death-at-icelands-national-hospital/,,,,,,,,,,,,,,,,,,,,,,,,
India,https://unb.com.bd/category/world/india-confirms-first-death-from-covid-19/46877,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,https://www.thejakartapost.com/news/2020/03/11/indonesia-reports-first-death-from-covid-19.htmll,,,,,,,,,,,,,,,,,,,,,,,,
Iran,https://www.aljazeera.com/news/2020/02/die-coronavirus-iran-fatalities-middle-east-200219171007605.html,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,https://www.aa.com.tr/en/latest-on-coronavirus-outbreak/iraq-reports-first-death-from-coronavirus/1754215,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,https://www.thejournal.ie/covid-19-ireland-death-5034206-Mar2020//,,,,,,,,,,,,,,,,,,,,,,,,
Israel,https://www.aljazeera.com/news/2020/04/coronavirus-death-east-jerusalem-israeli-neglect-200418093524597.html,,,,,,,,,,,,,,,,,,,,,,,,
Italy,https://unb.com.bd/category/World/italy-reports-1st-coronavirus-death-cases-more-than-quadruple/44944,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,https://www.moh.gov.jm/jamaica-records-first-covid-19-death/,,,,,,,,,,,,,,,,,,,,,,,,
Japan,https://www.japantimes.co.jp/news/2020/02/13/national/science-health/tokyo-taxi-driver-coronavirus/#.Xr-asMBxXIU,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,https://www.aa.com.tr/en/latest-on-coronavirus-outbreak/jordan-confirms-first-death-from-covid-19/1782742,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,https://www.reuters.com/article/uk-health-coronavirus-kazakhstan/kazakhstan-reports-first-death-due-to-coronavirus-idUSKBN21D2I0,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,https://www.the-star.co.ke/covid-19/2020-03-26-first-kenyan-dies-of-covid-19-cs-kagwe/,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,https://wtmj.com/national/2020/03/22/the-latest-kosovo-reports-first-covid-19-death-in-country/,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,https://www.aa.com.tr/en/latest-on-coronavirus-outbreak/kuwait-reports-1st-death-from-coronavirus-/1792273,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,http://www.xinhuanet.com/english/2020-04/03/c_138943740.htm,,,,,,,,,,,,,,,,,,,,,,,,
